,id,bedrooms,bathrooms,sqft_living,log_lot,sqft_lot,floors,waterfront,condition,grade,zipcode,lat,long,yr_of_last_update,season_sold,below_ground_ratio,price_100k,long_lat,district,is_seattle
0,7129300520,3,1.0,1180,8.639410824140487,5650,1.0,0.0,3,7,98178,47.5112,-122.257,1955,Fall,0.0,2.219,"(-122.257, 47.5112)",Seattle,1.0
1,6414100192,3,2.25,2570,8.887652690325586,7242,2.0,0.0,3,7,98125,47.721000000000004,-122.319,1991,Winter,0.18433179723502305,5.38,"(-122.319, 47.721000000000004)",Seattle,1.0
2,5631500400,2,1.0,770,9.210340371976184,10000,1.0,0.0,3,6,98028,47.7379,-122.23299999999999,1933,Winter,0.0,1.8,"(-122.23299999999999, 47.7379)",Northshore,0.0
3,2487200875,4,3.0,1960,8.517193191416238,5000,1.0,0.0,5,7,98136,47.5208,-122.39299999999999,1965,Winter,0.8666666666666667,6.04,"(-122.39299999999999, 47.5208)",Seattle,1.0
4,1954400510,3,2.0,1680,8.997147151515142,8080,1.0,0.0,3,8,98074,47.6168,-122.045,1987,Winter,0.0,5.1,"(-122.045, 47.6168)",Lake Washington,0.0
5,7237550310,4,4.5,5420,11.532041582162458,101930,1.0,0.0,3,11,98053,47.6561,-122.005,2001,Spring,0.39331619537275064,12.3,"(-122.005, 47.6561)",Lake Washington,0.0
6,1321400060,3,2.25,1715,8.827468112520654,6819,2.0,0.0,3,7,98003,47.3097,-122.32700000000001,1995,Summer,0.0,2.575,"(-122.32700000000001, 47.3097)",Federal Way,0.0
7,2008000270,3,1.5,1060,9.181014542594355,9711,1.0,0.0,3,7,98198,47.4095,-122.315,1963,Winter,0.0,2.9185,"(-122.315, 47.4095)",Highline,0.0
8,2414600126,3,1.0,1780,8.918650278126863,7470,1.0,0.0,3,7,98146,47.5123,-122.337,1960,Spring,0.6952380952380952,2.295,"(-122.337, 47.5123)",Highline,0.0
9,3793500160,3,2.5,1890,8.788745881938135,6560,2.0,0.0,3,7,98038,47.3684,-122.031,2003,Spring,0.0,3.23,"(-122.031, 47.3684)",Tahoma,0.0
10,1736800520,3,2.5,3560,9.189729418072059,9796,1.0,0.0,3,8,98007,47.6007,-122.145,1965,Spring,0.9139784946236559,6.625,"(-122.145, 47.6007)",Bellevue,0.0
11,9212900260,2,1.0,1160,8.699514748210191,6000,1.0,0.0,4,7,98115,47.69,-122.292,1942,Spring,0.3488372093023256,4.68,"(-122.292, 47.69)",Seattle,1.0
12,114101516,3,1.0,1430,9.898525260706313,19901,1.5,0.0,4,7,98028,47.7558,-122.229,1927,Spring,0.0,3.1,"(-122.229, 47.7558)",Northshore,0.0
13,6054650070,3,1.75,1370,9.177817180270623,9680,1.0,0.0,4,7,98074,47.6127,-122.045,1977,Fall,0.0,4.0,"(-122.045, 47.6127)",Lake Washington,0.0
14,1175000570,5,2.0,1810,8.48673398393153,4850,1.5,0.0,3,7,98107,47.67,-122.39399999999999,1900,Spring,0.0,5.3,"(-122.39399999999999, 47.67)",Seattle,1.0
15,9297300055,4,3.0,2950,8.517193191416238,5000,2.0,0.0,3,9,98126,47.5714,-122.375,1979,Winter,0.4898989898989899,6.5,"(-122.375, 47.5714)",Seattle,1.0
16,1875500060,3,2.0,1890,9.549665677579801,14040,2.0,0.0,3,7,98019,47.7277,-121.962,1994,Summer,0.0,3.95,"(-121.962, 47.7277)",Riverview,0.0
17,6865200140,4,1.0,1600,8.366370301681654,4300,1.5,0.0,4,7,98103,47.6648,-122.34299999999999,1916,Spring,0.0,4.85,"(-122.34299999999999, 47.6648)",Seattle,1.0
18,16000397,2,1.0,1200,9.195226734166134,9850,1.0,0.0,4,7,98002,47.3089,-122.21,1921,Winter,0.0,1.89,"(-122.21, 47.3089)",Auburn,0.0
19,7983200060,3,1.0,1250,9.1874810778301,9774,1.0,0.0,4,7,98003,47.3343,-122.306,1969,Spring,0.0,2.3,"(-122.306, 47.3343)",Federal Way,0.0
20,6300500875,4,1.75,1620,8.513185170018698,4980,1.0,0.0,4,7,98133,47.7025,-122.34100000000001,1947,Spring,0.8837209302325582,3.85,"(-122.34100000000001, 47.7025)",Seattle,1.0
21,2524049179,3,2.75,3050,10.711457836917562,44867,1.0,0.0,3,9,98040,47.5316,-122.23299999999999,1968,Summer,0.3090128755364807,20.0,"(-122.23299999999999, 47.5316)",Mercer Island,0.0
22,7137970340,5,2.5,2270,8.748304912379623,6300,2.0,0.0,3,8,98092,47.3266,-122.169,1995,Summer,0.0,2.85,"(-122.169, 47.3266)",Auburn,0.0
23,8091400200,2,1.5,1070,9.173987542510384,9643,1.0,0.0,3,7,98030,47.3533,-122.166,1985,Spring,0.0,2.527,"(-122.166, 47.3533)",Kent,0.0
24,3814700200,3,2.25,2450,8.779557455883728,6500,2.0,0.0,4,8,98030,47.3739,-122.17200000000001,1985,Fall,0.0,3.29,"(-122.17200000000001, 47.3739)",Kent,0.0
25,1202000200,3,2.0,1710,8.454679286026995,4697,1.5,0.0,5,6,98002,47.3048,-122.21799999999999,1941,Fall,0.0,2.33,"(-122.21799999999999, 47.3048)",Auburn,0.0
26,1794500383,3,1.75,2450,7.897668150726906,2691,2.0,0.0,3,8,98119,47.6386,-122.36,1915,Summer,0.4,9.37,"(-122.36, 47.6386)",Seattle,1.0
27,3303700376,3,1.0,1400,7.365812837209472,1581,1.5,0.0,5,8,98112,47.6221,-122.314,1909,Winter,0.0,6.67,"(-122.314, 47.6221)",Seattle,1.0
28,5101402488,3,1.75,1520,8.760923376338836,6380,1.0,0.0,3,7,98115,47.695,-122.304,1948,Summer,0.9240506329113924,4.38,"(-122.304, 47.695)",Seattle,1.0
29,1873100390,4,2.5,2570,8.878079256126435,7173,2.0,0.0,3,8,98052,47.7073,-122.11,2005,Spring,0.0,7.19,"(-122.11, 47.7073)",Lake Washington,0.0
30,8562750320,3,2.5,2320,8.289037098278483,3980,2.0,0.0,3,8,98027,47.5391,-122.07,2003,Fall,0.0,5.805,"(-122.07, 47.5391)",Issaquah,0.0
31,2426039314,2,1.5,1190,7.142827401161621,1265,3.0,0.0,3,7,98133,47.7274,-122.35700000000001,2005,Winter,0.0,2.8,"(-122.35700000000001, 47.7274)",Seattle,1.0
32,461000390,4,1.75,2330,8.517193191416238,5000,1.5,0.0,4,7,98117,47.6823,-122.368,1929,Summer,0.543046357615894,6.875,"(-122.368, 47.6823)",Seattle,1.0
33,7589200193,3,1.0,1090,8.006367567650246,3000,1.5,0.0,4,8,98117,47.6889,-122.375,1929,Fall,0.0,5.35,"(-122.375, 47.6889)",Seattle,1.0
34,7955080270,4,2.75,2060,8.803724602110622,6659,1.0,0.0,3,7,98058,47.4276,-122.15700000000001,1981,Winter,0.609375,3.225,"(-122.15700000000001, 47.4276)",Kent,0.0
35,9547205180,3,2.5,2300,8.026170194946426,3060,1.5,0.0,3,8,98115,47.6827,-122.31,2002,Summer,0.5231788079470199,6.96,"(-122.31, 47.6827)",Seattle,1.0
36,9435300030,4,1.0,1660,10.458751025732687,34848,1.0,0.0,1,5,98052,47.6621,-122.132,1933,Spring,0.7849462365591398,5.5,"(-122.132, 47.6621)",Lake Washington,0.0
37,2768000400,4,2.0,2360,8.699514748210191,6000,2.0,0.0,4,8,98107,47.6702,-122.36200000000001,1904,Winter,0.0,6.4,"(-122.36200000000001, 47.6702)",Seattle,1.0
38,7895500070,4,1.0,1220,8.996528148090857,8075,1.0,0.0,2,7,98001,47.3341,-122.28200000000001,1969,Winter,0.3707865168539326,2.4,"(-122.28200000000001, 47.3341)",Federal Way,0.0
39,2078500320,4,2.5,2620,8.929700114313448,7553,2.0,0.0,3,8,98056,47.5301,-122.18,1996,Summer,0.0,6.05,"(-122.18, 47.5301)",Renton,0.0
40,5547700270,4,2.5,2570,8.616133139271142,5520,2.0,0.0,3,9,98074,47.6145,-122.027,2000,Summer,0.0,6.25,"(-122.027, 47.6145)",Lake Washington,0.0
41,7766200013,4,2.25,4220,10.09352923234522,24186,1.0,0.0,3,8,98166,47.445,-122.34700000000001,1984,Summer,0.6230769230769231,7.75,"(-122.34700000000001, 47.445)",Highline,0.0
42,7203220400,5,2.75,3595,8.637462023807181,5639,2.0,0.0,3,9,98053,47.6848,-122.016,2014,Summer,0.0,8.6199,"(-122.016, 47.6848)",Lake Washington,0.0
43,9270200160,3,1.0,1570,7.731930721948486,2280,2.0,0.0,3,7,98119,47.6413,-122.36399999999999,1922,Fall,0.0,6.85,"(-122.36399999999999, 47.6413)",Seattle,1.0
44,1432701230,3,1.0,1280,9.175334762777368,9656,1.0,0.0,4,6,98058,47.4485,-122.175,1959,Summer,0.391304347826087,3.09,"(-122.175, 47.4485)",Renton,0.0
45,8035350320,3,2.5,3160,9.51804563563343,13603,2.0,0.0,3,8,98019,47.7443,-121.977,2003,Summer,0.0,4.88,"(-121.977, 47.7443)",Riverview,0.0
46,8945200830,3,1.0,990,9.051110146405625,8528,1.0,0.0,3,6,98023,47.3066,-122.37100000000001,1966,Spring,0.0,2.1049,"(-122.37100000000001, 47.3066)",Federal Way,0.0
47,4178300310,4,2.5,2290,9.504203303503045,13416,2.0,0.0,4,9,98007,47.6194,-122.15100000000001,1981,Summer,0.0,7.85,"(-122.15100000000001, 47.6194)",Bellevue,0.0
48,9215400105,3,1.75,1250,8.693328989123106,5963,1.0,0.0,4,7,98115,47.6796,-122.301,1953,Spring,0.0,4.5,"(-122.301, 47.6796)",Seattle,1.0
49,822039084,3,2.5,2753,11.08221946899627,65005,1.0,1.0,5,9,98070,47.4041,-122.45100000000001,1953,Spring,0.2715935334872979,13.5,"(-122.45100000000001, 47.4041)",Vashon Island,0.0
50,5245600105,3,1.0,1190,9.126850061477157,9199,1.0,0.0,3,7,98148,47.4258,-122.322,1955,Fall,0.0,2.28,"(-122.322, 47.4258)",Highline,0.0
51,7231300125,5,2.5,3150,9.119758993744945,9134,1.0,0.0,4,8,98056,47.4934,-122.189,1966,Winter,0.9207317073170732,3.45,"(-122.189, 47.4934)",Renton,0.0
52,7518505990,3,1.75,1410,8.313852267398207,4080,1.0,0.0,4,7,98117,47.6808,-122.384,1950,Winter,0.41,6.0,"(-122.384, 47.6808)",Seattle,1.0
53,3626039271,2,1.75,1980,9.053686561930807,8550,1.0,0.0,3,7,98117,47.6989,-122.369,1981,Winter,1.0,5.85,"(-122.369, 47.6989)",Seattle,1.0
54,4217401195,5,2.25,2730,8.699514748210191,6000,1.5,0.0,3,8,98105,47.6571,-122.281,1927,Spring,0.28169014084507044,9.2,"(-122.281, 47.6571)",Seattle,1.0
55,9822700295,4,2.5,2830,8.517193191416238,5000,2.0,0.0,3,9,98105,47.6597,-122.29,1995,Spring,0.0,8.85,"(-122.29, 47.6597)",Seattle,1.0
56,9478500640,4,2.5,2250,8.410720946905721,4495,2.0,0.0,3,7,98042,47.3663,-122.11399999999999,2008,Summer,0.0,2.925,"(-122.11399999999999, 47.3663)",Kent,0.0
57,2799800710,3,2.5,2420,8.465899897028686,4750,2.0,0.0,3,8,98042,47.3663,-122.12200000000001,2003,Spring,0.0,3.01,"(-122.12200000000001, 47.3663)",Kent,0.0
58,7922800400,5,3.25,3250,9.57094757444252,14342,2.0,0.0,4,8,98008,47.588,-122.116,1968,Summer,0.0,9.51,"(-122.116, 47.588)",Bellevue,0.0
59,8079040320,4,3.0,1850,9.207937487359873,9976,2.0,0.0,3,8,98059,47.5059,-122.149,1991,Winter,0.0,4.3,"(-122.149, 47.5059)",Renton,0.0
60,1516000055,3,2.25,2150,9.963406042747371,21235,1.0,0.0,4,8,98166,47.4336,-122.339,1959,Winter,0.3522012578616352,6.5,"(-122.339, 47.4336)",Highline,0.0
