,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,zipcode,lat,long,yr_of_last_update,season_sold,below_ground_ratio,price_100k
0,7129300520,3,1.0,1180,5650,1.0,0.0,3,7,98178,47.5112,-122.257,1955,Fall,0.0,2.219
1,6414100192,3,2.25,2570,7242,2.0,0.0,3,7,98125,47.721000000000004,-122.319,1991,Winter,0.18433179723502305,5.38
2,5631500400,2,1.0,770,10000,1.0,0.0,3,6,98028,47.7379,-122.23299999999999,1933,Winter,0.0,1.8
3,2487200875,4,3.0,1960,5000,1.0,0.0,5,7,98136,47.5208,-122.39299999999999,1965,Winter,0.8666666666666667,6.04
4,1954400510,3,2.0,1680,8080,1.0,0.0,3,8,98074,47.6168,-122.045,1987,Winter,0.0,5.1
5,7237550310,4,4.5,5420,101930,1.0,0.0,3,11,98053,47.6561,-122.005,2001,Spring,0.39331619537275064,12.3
6,1321400060,3,2.25,1715,6819,2.0,0.0,3,7,98003,47.3097,-122.32700000000001,1995,Summer,0.0,2.575
7,2008000270,3,1.5,1060,9711,1.0,0.0,3,7,98198,47.4095,-122.315,1963,Winter,0.0,2.9185
8,2414600126,3,1.0,1780,7470,1.0,0.0,3,7,98146,47.5123,-122.337,1960,Spring,0.6952380952380952,2.295
9,3793500160,3,2.5,1890,6560,2.0,0.0,3,7,98038,47.3684,-122.031,2003,Spring,0.0,3.23
10,1736800520,3,2.5,3560,9796,1.0,0.0,3,8,98007,47.6007,-122.145,1965,Spring,0.9139784946236559,6.625
11,9212900260,2,1.0,1160,6000,1.0,0.0,4,7,98115,47.69,-122.292,1942,Spring,0.3488372093023256,4.68
12,114101516,3,1.0,1430,19901,1.5,0.0,4,7,98028,47.7558,-122.229,1927,Spring,0.0,3.1
13,6054650070,3,1.75,1370,9680,1.0,0.0,4,7,98074,47.6127,-122.045,1977,Fall,0.0,4.0
14,1175000570,5,2.0,1810,4850,1.5,0.0,3,7,98107,47.67,-122.39399999999999,1900,Spring,0.0,5.3
15,9297300055,4,3.0,2950,5000,2.0,0.0,3,9,98126,47.5714,-122.375,1979,Winter,0.4898989898989899,6.5
16,1875500060,3,2.0,1890,14040,2.0,0.0,3,7,98019,47.7277,-121.962,1994,Summer,0.0,3.95
17,6865200140,4,1.0,1600,4300,1.5,0.0,4,7,98103,47.6648,-122.34299999999999,1916,Spring,0.0,4.85
18,16000397,2,1.0,1200,9850,1.0,0.0,4,7,98002,47.3089,-122.21,1921,Winter,0.0,1.89
19,7983200060,3,1.0,1250,9774,1.0,0.0,4,7,98003,47.3343,-122.306,1969,Spring,0.0,2.3
20,6300500875,4,1.75,1620,4980,1.0,0.0,4,7,98133,47.7025,-122.34100000000001,1947,Spring,0.8837209302325582,3.85
21,2524049179,3,2.75,3050,44867,1.0,0.0,3,9,98040,47.5316,-122.23299999999999,1968,Summer,0.3090128755364807,20.0
22,7137970340,5,2.5,2270,6300,2.0,0.0,3,8,98092,47.3266,-122.169,1995,Summer,0.0,2.85
23,8091400200,2,1.5,1070,9643,1.0,0.0,3,7,98030,47.3533,-122.166,1985,Spring,0.0,2.527
24,3814700200,3,2.25,2450,6500,2.0,0.0,4,8,98030,47.3739,-122.17200000000001,1985,Fall,0.0,3.29
25,1202000200,3,2.0,1710,4697,1.5,0.0,5,6,98002,47.3048,-122.21799999999999,1941,Fall,0.0,2.33
26,1794500383,3,1.75,2450,2691,2.0,0.0,3,8,98119,47.6386,-122.36,1915,Summer,0.4,9.37
27,3303700376,3,1.0,1400,1581,1.5,0.0,5,8,98112,47.6221,-122.314,1909,Winter,0.0,6.67
28,5101402488,3,1.75,1520,6380,1.0,0.0,3,7,98115,47.695,-122.304,1948,Summer,0.9240506329113924,4.38
29,1873100390,4,2.5,2570,7173,2.0,0.0,3,8,98052,47.7073,-122.11,2005,Spring,0.0,7.19
30,8562750320,3,2.5,2320,3980,2.0,0.0,3,8,98027,47.5391,-122.07,2003,Fall,0.0,5.805
31,2426039314,2,1.5,1190,1265,3.0,0.0,3,7,98133,47.7274,-122.35700000000001,2005,Winter,0.0,2.8
32,461000390,4,1.75,2330,5000,1.5,0.0,4,7,98117,47.6823,-122.368,1929,Summer,0.543046357615894,6.875
33,7589200193,3,1.0,1090,3000,1.5,0.0,4,8,98117,47.6889,-122.375,1929,Fall,0.0,5.35
34,7955080270,4,2.75,2060,6659,1.0,0.0,3,7,98058,47.4276,-122.15700000000001,1981,Winter,0.609375,3.225
35,9547205180,3,2.5,2300,3060,1.5,0.0,3,8,98115,47.6827,-122.31,2002,Summer,0.5231788079470199,6.96
36,9435300030,4,1.0,1660,34848,1.0,0.0,1,5,98052,47.6621,-122.132,1933,Spring,0.7849462365591398,5.5
37,2768000400,4,2.0,2360,6000,2.0,0.0,4,8,98107,47.6702,-122.36200000000001,1904,Winter,0.0,6.4
38,7895500070,4,1.0,1220,8075,1.0,0.0,2,7,98001,47.3341,-122.28200000000001,1969,Winter,0.3707865168539326,2.4
